2024/01/27 13:50:01.548842 [INFO] Log Publish not set, skipping...
2024/01/27 14:10:02.019502 [INFO] Log Publish not set, skipping...
2024/01/27 14:30:01.037715 [INFO] Log Publish not set, skipping...
2024/01/27 14:50:01.062276 [INFO] Log Publish not set, skipping...
2024/01/27 15:10:01.378271 [INFO] Log Publish not set, skipping...
2024/01/27 15:30:01.417595 [INFO] Log Publish not set, skipping...
2024/01/27 15:50:01.447408 [INFO] Log Publish not set, skipping...
2024/01/27 16:10:01.847153 [INFO] Log Publish not set, skipping...
2024/01/27 16:30:01.888274 [INFO] Log Publish not set, skipping...
2024/01/27 16:50:01.922442 [INFO] Log Publish not set, skipping...
2024/01/27 17:10:01.265531 [INFO] Log Publish not set, skipping...
2024/01/27 17:30:01.295488 [INFO] Log Publish not set, skipping...
2024/01/27 17:50:01.326532 [INFO] Log Publish not set, skipping...
2024/01/27 18:10:01.701053 [INFO] Log Publish not set, skipping...
2024/01/27 18:30:01.728063 [INFO] Log Publish not set, skipping...
2024/01/27 18:50:01.749551 [INFO] Log Publish not set, skipping...
2024/01/27 19:10:01.104047 [INFO] Log Publish not set, skipping...
2024/01/27 19:30:01.131154 [INFO] Log Publish not set, skipping...
2024/01/27 19:50:01.154223 [INFO] Log Publish not set, skipping...
2024/01/27 20:10:01.419657 [INFO] Log Publish not set, skipping...
2024/01/27 20:30:01.451846 [INFO] Log Publish not set, skipping...
2024/01/27 20:50:01.480594 [INFO] Log Publish not set, skipping...
2024/01/27 21:10:01.880397 [INFO] Log Publish not set, skipping...
2024/01/27 21:30:01.913620 [INFO] Log Publish not set, skipping...
2024/01/27 21:50:01.944837 [INFO] Log Publish not set, skipping...
2024/01/27 22:10:01.408911 [INFO] Log Publish not set, skipping...
2024/01/27 22:30:01.439222 [INFO] Log Publish not set, skipping...
2024/01/27 22:50:01.478311 [INFO] Log Publish not set, skipping...
2024/01/27 23:10:01.878462 [INFO] Log Publish not set, skipping...
2024/01/27 23:30:01.928014 [INFO] Log Publish not set, skipping...
2024/01/27 23:50:01.952100 [INFO] Log Publish not set, skipping...
2024/01/28 00:10:01.355020 [INFO] Log Publish not set, skipping...
2024/01/28 00:30:01.400140 [INFO] Log Publish not set, skipping...
2024/01/28 00:50:01.427255 [INFO] Log Publish not set, skipping...
2024/01/28 01:10:01.097913 [INFO] Log Publish not set, skipping...
2024/01/28 01:30:01.128020 [INFO] Log Publish not set, skipping...
2024/01/28 01:50:01.154838 [INFO] Log Publish not set, skipping...
2024/01/28 02:10:01.508893 [INFO] Log Publish not set, skipping...
2024/01/28 02:30:01.546102 [INFO] Log Publish not set, skipping...
2024/01/28 02:50:01.584493 [INFO] Log Publish not set, skipping...
2024/01/28 03:10:01.928818 [INFO] Log Publish not set, skipping...
2024/01/28 03:30:01.967707 [INFO] Log Publish not set, skipping...
2024/01/28 03:50:02.013776 [INFO] Log Publish not set, skipping...
2024/01/28 04:10:01.376827 [INFO] Log Publish not set, skipping...
2024/01/28 04:30:01.410318 [INFO] Log Publish not set, skipping...
2024/01/28 04:50:01.446153 [INFO] Log Publish not set, skipping...
2024/01/28 05:10:01.788033 [INFO] Log Publish not set, skipping...
2024/01/28 05:30:01.818850 [INFO] Log Publish not set, skipping...
2024/01/28 05:50:01.847322 [INFO] Log Publish not set, skipping...
2024/01/28 06:10:01.298223 [INFO] Log Publish not set, skipping...
2024/01/28 06:30:01.331703 [INFO] Log Publish not set, skipping...
2024/01/28 06:50:01.369045 [INFO] Log Publish not set, skipping...
2024/01/28 07:10:01.754594 [INFO] Log Publish not set, skipping...
2024/01/28 07:30:01.801277 [INFO] Log Publish not set, skipping...
2024/01/28 07:50:01.822227 [INFO] Log Publish not set, skipping...
2024/01/28 08:10:01.120338 [INFO] Log Publish not set, skipping...
2024/01/28 08:30:01.144999 [INFO] Log Publish not set, skipping...
2024/01/28 08:50:01.199222 [INFO] Log Publish not set, skipping...
2024/01/28 09:10:01.661596 [INFO] Log Publish not set, skipping...
2024/01/28 09:30:01.702017 [INFO] Log Publish not set, skipping...
2024/01/28 09:50:01.731206 [INFO] Log Publish not set, skipping...
2024/01/28 10:10:01.133924 [INFO] Log Publish not set, skipping...
2024/01/28 10:30:01.160433 [INFO] Log Publish not set, skipping...
2024/01/28 10:50:01.194162 [INFO] Log Publish not set, skipping...
2024/01/28 11:10:01.563161 [INFO] Log Publish not set, skipping...
2024/01/28 11:30:01.585103 [INFO] Log Publish not set, skipping...
2024/01/28 11:50:01.612769 [INFO] Log Publish not set, skipping...
2024/01/28 12:10:01.105188 [INFO] Log Publish not set, skipping...
2024/01/28 12:30:01.149045 [INFO] Log Publish not set, skipping...
2024/01/28 12:50:01.192334 [INFO] Log Publish not set, skipping...
2024/01/28 13:10:01.682366 [INFO] Log Publish not set, skipping...
2024/01/28 13:30:01.705294 [INFO] Log Publish not set, skipping...
2024/01/28 13:50:01.760676 [INFO] Log Publish not set, skipping...
2024/01/28 14:10:01.195514 [INFO] Log Publish not set, skipping...
2024/01/28 14:30:01.232534 [INFO] Log Publish not set, skipping...
2024/01/28 14:50:01.255012 [INFO] Log Publish not set, skipping...
2024/01/28 15:10:01.545331 [INFO] Log Publish not set, skipping...
2024/01/28 15:30:01.570039 [INFO] Log Publish not set, skipping...
2024/01/28 15:50:01.589613 [INFO] Log Publish not set, skipping...
2024/01/28 16:10:01.977445 [INFO] Log Publish not set, skipping...
2024/01/28 16:30:02.009920 [INFO] Log Publish not set, skipping...
2024/01/28 16:50:01.029220 [INFO] Log Publish not set, skipping...
2024/01/28 17:10:01.313880 [INFO] Log Publish not set, skipping...
2024/01/28 17:30:01.358966 [INFO] Log Publish not set, skipping...
2024/01/28 17:50:01.378753 [INFO] Log Publish not set, skipping...
2024/01/28 18:10:01.648327 [INFO] Log Publish not set, skipping...
2024/01/28 18:30:01.717421 [INFO] Log Publish not set, skipping...
2024/01/28 18:50:01.765151 [INFO] Log Publish not set, skipping...
2024/01/28 19:10:01.082104 [INFO] Log Publish not set, skipping...
2024/01/28 19:30:01.115275 [INFO] Log Publish not set, skipping...
2024/01/28 19:50:01.135849 [INFO] Log Publish not set, skipping...
2024/01/28 20:10:01.515575 [INFO] Log Publish not set, skipping...
2024/01/28 20:30:01.552950 [INFO] Log Publish not set, skipping...
2024/01/28 20:50:01.575418 [INFO] Log Publish not set, skipping...
2024/01/28 21:10:01.973890 [INFO] Log Publish not set, skipping...
2024/01/28 21:30:02.006015 [INFO] Log Publish not set, skipping...
2024/01/28 21:50:01.029278 [INFO] Log Publish not set, skipping...
2024/01/28 22:10:01.212867 [INFO] Log Publish not set, skipping...
2024/01/28 22:30:01.256310 [INFO] Log Publish not set, skipping...
2024/01/28 22:50:01.280764 [INFO] Log Publish not set, skipping...
2024/01/28 23:10:01.602038 [INFO] Log Publish not set, skipping...
2024/01/28 23:30:01.645970 [INFO] Log Publish not set, skipping...
2024/01/28 23:50:01.695834 [INFO] Log Publish not set, skipping...
2024/01/29 00:10:01.260034 [INFO] Log Publish not set, skipping...
2024/01/29 00:30:01.298939 [INFO] Log Publish not set, skipping...
2024/01/29 00:50:01.331190 [INFO] Log Publish not set, skipping...
2024/01/29 01:10:01.832910 [INFO] Log Publish not set, skipping...
2024/01/29 01:30:01.876905 [INFO] Log Publish not set, skipping...
2024/01/29 01:50:01.898750 [INFO] Log Publish not set, skipping...
2024/01/29 02:10:01.338779 [INFO] Log Publish not set, skipping...
2024/01/29 02:30:01.374140 [INFO] Log Publish not set, skipping...
2024/01/29 02:50:01.413027 [INFO] Log Publish not set, skipping...
2024/01/29 03:10:01.683378 [INFO] Log Publish not set, skipping...
2024/01/29 03:30:01.720349 [INFO] Log Publish not set, skipping...
